sensor_index,date_created,private,location_type,uptime,position_rating,Y,X
9976,1523575982,0,0,18930,5,33.37551,-111.70006
141050,1640017527,0,1,15234,5,37.87865,-122.081406
9978,1523575991,0,0,18930,5,39.014103,-77.01304
141058,1640017638,0,1,4908,5,40.021297,-75.50001
141062,1640017661,0,1,18828,0,37.96506,-122.50333
10014,1523638993,0,0,6866,5,41.24726,-72.69916
10024,1523639055,0,0,7392,0,45.11663,-64.6638
141106,1640020328,0,0,18876,5,-37.854225,145.07849
141110,1640020349,0,0,18917,0,37.86678,-121.932465
141112,1640020469,0,0,18822,5,40.494274,-79.99152
10050,1523828385,0,0,9056,5,40.74915,-111.91246
10056,1523828564,0,0,13944,5,27.176521,-82.475204
10060,1523828590,0,0,18933,4,35.236828,126.835785
10090,1525280809,0,0,3092,5,34.99635,-92.01859
141160,1640033196,0,1,1346,3,37.342415,-122.12306
10092,1525371518,0,0,18884,5,37.857567,-121.97286
141166,1640033302,0,1,356,0,48.417664,-120.14883
10094,1525371551,0,0,252,5,43.037407,-88.22133
10104,1525371592,0,0,1686,0,42.278694,-122.721985
141180,1640033966,0,1,18891,5,38.496593,-121.55124
141184,1640033997,0,1,18849,5,37.758213,-122.44011
10116,1525371640,0,0,18893,5,48.084812,15.833893
10118,1525371665,0,0,1610,0,54.02421,-123.09304
141196,1640035075,0,0,4155,5,-37.84082,144.93147
10166,1525379560,0,0,280,5,48.48526,-120.17431
10168,1525379574,0,0,336,0,48.39443,-120.04445
141244,1640038853,0,0,18825,5,38.931633,-121.10626
10182,1525379876,0,0,290,0,48.29451,-120.03911
10188,1525381104,0,0,1078,5,48.609413,-120.444336
10204,1525385570,0,0,18884,5,33.72064,-117.41661
10216,1525385612,0,0,18820,5,42.753536,-87.89455
141302,1640051675,0,1,18821,5,44.9367,-124.01147
141300,1640051647,0,1,10065,5,44.07297,-121.28872
141306,1640051727,0,1,18820,5,37.738426,-122.47245
10234,1525390312,0,0,18885,5,39.10044,-108.56028
141304,1640051685,0,1,2156,5,39.135845,-120.15906
141310,1640051768,0,1,3640,5,28.431938,-16.497087
141318,1640051904,0,1,18825,5,37.61018,-122.04891
141316,1640051889,0,1,8891,5,41.346905,-122.35677
10250,1525390428,0,0,18656,5,44.44406,-73.059296
141330,1640051935,0,1,10183,5,44.767704,-93.19565
141328,1640051934,0,1,11587,5,37.960102,-122.52903
10260,1525469082,0,0,18819,5,53.0665,-2.51601
10264,1525469112,0,0,11779,5,37.556583,-77.39969
141338,1640114776,0,0,6687,5,38.76633,-119.808975
